4-Hydroxyphenylglycine	4hpg
Glutamate	glu
2-amino-9,10-epoxi-8-oxodecanoic acid	aeo
Asparagine	asn
Coumaric acid	coum
N-methyl-threonine	nme-thr
Glycine	gly
D-leucine	d-leu
Alanine	ala
Hydroxyphenylglycine	hpg
Tyrosine	tyr
Glutamine	gln
D-allothreonine	d-athr
Glutamine / Tyrosine	glu|tyr
Threonine	thr
2,4-Diaminobutyric acid	dab
Valine	val
Beta-hydroxytyrosine	boh-tyr
3,5-Dihydroxyphenylglycine	dhpg
D-valine	d-val
Cysteic acid	cysa
D-Alanine	d-ala
D-proline	d-pro
Proline	pro
glycocyamine	glycy
Isoleucine; Valine	iso|val
Tryptophan	trp
D-glutamine	d-gln
Arginine	arg
Isoleucine	ile
Phenylalanine	phe
D-serine	d-ser
4-acetamidopyrrole-2-carboxylate	4ap2c
Leucine	leu
Homoserine	hse
2,3-Dehydro-2-aminobutyric acid	dhabu
Dihydroxy hexadecanoic acid	doh-hda
3,5-Dihydroxy-phenylglycine	dhpg
2,3-Diaminopropionic acid	dpr
Lysine	lys
Serine	ser
